,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5ep4jiZhv2eoFfFHtSU1df,0.213,0.0457,-23.107,1,0.0438,0.964,0.00121,0.107,0.031,85.087,276080
06coE8XndDciGk7LOYhkBh,0.379,0.0381,-23.016,1,0.0495,0.986,8.66e-05,0.136,0.0764,71.72,138835
0WRU1MhghbkLXVuEf1WnrY,0.0742,0.098,-20.025,1,0.0418,0.897,0.896,0.21,0.0324,80.095,1480000
5DjbLzDmbP21ZVgCtvWY1J,0.207,0.0463,-21.13,1,0.0545,0.989,7.32e-06,0.0657,0.0445,72.268,201640
1BZ7quGqnjra6uAXUnSN01,0.419,0.0235,-26.659,1,0.0547,0.995,0.895,0.0762,0.151,56.647,287920
2ywE1VwAIPDBUTmoVQuy42,0.45,0.0292,-24.749,1,0.0644,0.995,0.886,0.0686,0.0982,70.777,336253
6tEO7bieJDK8CAI0zplfu0,0.401,0.294,-18.69,1,0.0366,0.987,0.859,0.0912,0.126,98.402,610933
2XokuveOGJtpPvhIb3nLvy,0.299,0.13,-15.885,1,0.0426,0.78,0.727,0.0837,0.0458,132.781,402253
4Vd3XrtbTMUDTT7UYc0o1F,0.305,0.153,-18.898,1,0.0422,0.955,0.14,0.191,0.0685,138.311,365933
1SonFKhzosvMtCPAfA5xb7,0.291,0.0206,-26.303,1,0.0407,0.88,0.326,0.0758,0.0619,136.605,138133
5EO7sHpmpPWFI0mfCTV5NI,0.466,0.205,-17.586,1,0.0514,0.974,0.693,0.0977,0.127,142.166,351733
6eJO3KPASyzKrVP9izfCEC,0.207,0.106,-22.968,1,0.0468,0.884,0.682,0.0962,0.0562,74.094,918027
6xlIxTI615UAXadCS2OIKP,0.217,0.166,-20.269,0,0.0467,0.993,0.911,0.104,0.0387,88.351,169200
3VjFhqD2S4fUxWwAmO14gb,0.104,0.0443,-24.801,1,0.0486,0.898,0.13,0.279,0.03,88.988,519733
2dZAwI6vY2p3ebNn9rtY2n,0.41,0.303,-22.292,1,0.0316,0.946,0.779,0.234,0.349,139.915,375000
1FFjTygElZaQxzBOu1Xo5U,0.0833,0.0145,-28.413,0,0.0437,0.658,0.551,0.0841,0.0341,84.542,393000
5NhW6SeNDBaWclc73ZnRLn,0.342,0.0988,-25.973,1,0.0777,0.991,0.895,0.0756,0.282,83.475,175333
1digmGByFmf2Bu11vMGGxt,0.462,0.31,-16.982,1,0.0336,0.977,0.902,0.0904,0.16,123.994,556427
1I1HDfAzH34vDqIf7Oslap,0.503,0.0608,-23.326,0,0.0665,0.99,0.882,0.101,0.194,131.043,198298
7np35tcxkRbHzm75KXbIXA,0.395,0.103,-17.15,1,0.047,0.994,0.194,0.0804,0.379,66.582,127880
64M1y2P7VuxfBEeoj55aaF,0.525,0.227,-26.993,0,0.0394,0.989,0.807,0.14,0.906,103.942,49893
63F1NC6jzhml1JisCZ2Jy1,0.421,0.0103,-24.327,0,0.0534,0.994,0.896,0.145,0.138,71.917,266133
14GM5RZ3p3JB1CM9WoS469,0.244,0.2,-26.809,0,0.0369,0.992,0.868,0.129,0.45,104.847,69000
4TsFOEqZt0C1db2nm5xfdG,0.138,0.0142,-27.625,1,0.0449,0.953,0.00021,0.124,0.0489,84.126,241413
0aCTZe479Fv0AhMDiDtEIf,0.13,0.00385,-39.315,1,0.0464,0.917,0.235,0.0534,0.0298,97.536,171600
3hqXGZJs3yWGPFsmYCl7JD,0.295,0.119,-19.099,0,0.0402,0.99,0.201,0.0658,0.108,90.693,257400
0wnXJy6kkLgLpcbFGnAXBI,0.356,0.222,-15.184,1,0.0341,0.785,0.848,0.387,0.161,100.292,51053
2b9jjrVhyalVAu9jmlH5eG,0.349,0.254,-16.207,0,0.0359,0.948,0.856,0.0843,0.101,133.429,564640
6iMgWbghIWXSBdA7O6FJK0,0.362,0.0374,-29.113,1,0.0364,0.92,0.551,0.0945,0.0815,104.6,250507
7HSs4srn1qnZhh7WRWBVOk,0.21,0.101,-19.383,1,0.0403,0.927,0.902,0.0776,0.153,86.314,341693
19ow18zHKSdkjnEtsjFexD,0.168,0.0127,-26.473,1,0.0403,0.952,0.875,0.0929,0.0363,64.072,474880
0vAuvor57Kozo21tSnfLGY,0.376,0.146,-18.732,1,0.036,0.963,0.892,0.128,0.329,77.955,164000
6dt9dcSVvXTvVQOWBoLWQt,0.37,0.132,-27.533,0,0.0294,0.977,0.968,0.0788,0.35,109.249,265827
3x82HfARa8k6fC8i0Rz91N,0.397,0.0196,-30.828,0,0.0357,0.99,0.658,0.408,0.404,93.786,46733
6cQAGDiZXMQ42knT11TPK6,0.36,0.0767,-26.221,1,0.0341,0.993,0.913,0.12,0.307,77.144,138147
1qq2EH18tQjsnbu7LOnFYw,0.231,0.29,-15.514,1,0.0348,0.904,0.91,0.225,0.393,194.364,164400
1xjHYQefL45gTbjO6rbwHC,0.125,0.0382,-26.221,1,0.036,0.852,0.882,0.409,0.12,97.005,165667
2CDIOgjV5L5xdsIsYosA6p,0.455,0.148,-21.038,0,0.0377,0.902,0.94,0.0643,0.268,97.484,206560
5ClfV8lV4q44T6uhknu91D,0.464,0.196,-23.58,1,0.0334,0.977,0.914,0.174,0.421,82.479,144107
4Wm2MlcN6f3XnGIm1TM5pQ,0.467,0.0365,-29.199,0,0.0337,0.801,0.0268,0.285,0.337,98.592,253960
1J3VAzwf2L4t8o9vfO3OPt,0.349,0.18,-21.573,1,0.0396,0.96,0.932,0.659,0.0817,113.15,573480
56HeCOEM7fqwjJZQINxiSs,0.275,0.157,-19.379,1,0.0417,0.977,0.919,0.16,0.0846,79.362,543000
4qdM4OmddiyTRFygcxeWg2,0.327,0.425,-17.001,1,0.0425,0.784,0.723,0.617,0.388,138.514,159867
1fV9WlLiIdznc0ryWeR859,0.572,0.128,-14.102,0,0.0573,0.898,0.131,0.121,0.204,117.808,94733
02XxZCWbIjpn2Qtds78a6i,0.17,0.178,-18.921,1,0.0452,0.946,0.391,0.139,0.0387,114.351,177333
4nYCZa7aaNqf43sbKpxwkg,0.0963,0.31,-15.659,1,0.0422,0.895,0.94,0.0363,0.04,74.656,783000
74WjYdm3Lvbwnds4thYPUU,0.212,0.301,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333
5cR6xfzyicyDyAr52zB48k,0.37,0.248,-10.47,1,0.0371,0.965,2.12e-05,0.0911,0.384,133.33,141600
7DKv6FjD4xxeT4ZmEdec9W,0.277,0.0928,-24.75,0,0.0453,0.963,7.41e-06,0.106,0.0619,86.85,250493
0KFPsX30uBNCDpkgdz0JrV,0.234,0.273,-13.85,1,0.0365,0.943,0.0399,0.157,0.291,135.475,202680
2zGVfygrdGVKCZ54sxCaQH,0.395,0.246,-16.601,1,0.0644,0.967,7.77e-06,0.505,0.208,110.022,167027
6TULK1G2c2c66sg9XcLVA4,0.176,0.159,-17.154,0,0.0407,0.977,0.00776,0.086,0.0697,87.313,175573
48fH1Mv10Nl8Hisna5y2Rf,0.16,0.236,-16.271,1,0.0417,0.988,4.56e-05,0.113,0.109,86.051,346173
6zr3CEZAvJyxARO5oNt5lS,0.196,0.183,-14.742,1,0.0394,0.98,0.000249,0.0876,0.103,170.189,206693
4z2WTEwX66niZjo7v4SFj2,0.37,0.257,-15.982,1,0.0418,0.919,0.000957,0.274,0.216,71.521,117600
7rLFi55HFEwO72Mg0SYXZz,0.21,0.253,-14.654,1,0.0431,0.962,1.92e-05,0.224,0.21,83.025,244840
1vVu1EmfjLVCZT6oYBkoHs,0.191,0.175,-19.098,1,0.0405,0.906,0.0213,0.339,0.0894,85.541,208467
1gcF7SWXRSlceY4AadLGN8,0.176,0.201,-17.344,1,0.0423,0.961,0.00707,0.194,0.0446,83.433,248307
2NQJ7r83PSAFELsKAEIU4v,0.244,0.174,-16.742,1,0.0424,0.974,0.0485,0.105,0.0398,84.824,252453
5ak8qOzus2Yh056whhY5K3,0.431,0.31,-13.613,1,0.056,0.963,0.0145,0.0559,0.372,130.891,417173
0droQM0XZC0tJKEsXNWuVD,0.283,0.183,-16.708,1,0.0409,0.976,6.51e-05,0.0876,0.166,78.441,180933
25t698K9Yd9imTiOXBxb4I,0.187,0.31,-13.234,1,0.0357,0.982,0.058,0.376,0.0729,89.118,183613
4GVDbAN83PfpsRejssMzNA,0.262,0.237,-16.612,1,0.0445,0.979,0.00588,0.326,0.144,101.907,345513
17dU8ZQ95Iu3Pss9l5BbMm,0.199,0.149,-18.329,1,0.0464,0.953,9.53e-05,0.345,0.0681,83.489,226280
4VrbYjU8w5eGAbkFLHeS1p,0.239,0.194,-16.468,1,0.0396,0.97,0.0388,0.181,0.144,82.896,262507
4GCE6ipE5NI0DCNS8gnzT9,0.157,0.208,-16.978,1,0.049,0.971,0.0401,0.298,0.0965,174.365,328627
1Oo7XEqkrwifJn17aA0ocF,0.299,0.00626,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733
4Z9cXGgviHafSAd7KzxABm,0.118,0.00916,-32.966,1,0.0513,0.992,0.896,0.0582,0.0539,87.589,148000
0Av4RcQUUitKvfC16IPodc,0.171,0.131,-20.767,1,0.0406,0.953,0.859,0.15,0.0447,95.043,454840
7xVtNzQhUKsRnfAeiSgpaf,0.365,0.0407,-25.818,0,0.0425,0.99,0.926,0.0766,0.366,103.865,327240
2o0nyuoXnebqd1Eu9YM8le,0.18,0.0582,-24.389,1,0.041,0.96,0.926,0.173,0.0716,133.056,292613
6K1cvpap1qFshpHqumus59,0.427,0.255,-20.829,1,0.0417,0.989,0.633,0.12,0.212,99.113,370200
5eqhhghDRfP4hVqBTTxUv5,0.287,0.00703,-41.696,0,0.0518,0.995,0.909,0.0997,0.693,124.244,52200
3XscpxBMDGN1Jhm9ZL3Wsg,0.131,0.0522,-19.62,0,0.0441,0.988,0.905,0.0844,0.0626,67.73,459213
2SvULYdmPes23yZQYeLkXV,0.32,0.127,-15.953,0,0.0366,0.929,0.813,0.25,0.272,144.451,135773
0EhiqZX4FNq822uW0jjCrm,0.217,0.0581,-22.465,1,0.0437,0.984,0.861,0.0998,0.0397,130.499,817827
4Ebsd7yZGna3AC9YBNinN4,0.375,0.0367,-27.307,1,0.0467,0.993,0.923,0.115,0.0752,69.241,98600
6JbnqGLPU6kKD3gMame9NJ,0.308,0.0158,-25.032,1,0.0355,0.989,0.849,0.109,0.156,75.649,128293
6mClSrzoDMpCnadkfaSf4O,0.269,0.219,-18.219,0,0.0358,0.871,0.627,0.0784,0.488,113.777,196520
17L8jD7jtYGCn3v6b1tlxT,0.388,0.248,-14.121,0,0.0297,0.972,0.905,0.408,0.13,104.427,553227
48jqb5ZyfNj7ov2wNsEEkD,0.289,0.21,-15.039,0,0.0414,0.919,0.603,0.111,0.284,86.038,519400
2wcqhYITSlQzZ8dqw6n9VQ,0.311,0.00295,-32.412,1,0.0383,0.996,0.929,0.0859,0.0571,70.995,567533
0PlyZVYZzBRr7mBEL9nkfi,0.179,0.0421,-25.49,1,0.0468,0.949,0.832,0.1,0.0314,66.331,684027
3lcxhqs8AdAYpP9lyrvi4d,0.309,0.21,-16.593,1,0.0455,0.908,0.0729,0.392,0.352,83.914,510000
0A9rjOWKFp0IUndLB3KlJV,0.406,0.0925,-20.736,0,0.0375,0.989,0.886,0.104,0.126,92.409,310000
6L7BMIjE0ruiOSC3ZLX0Om,0.179,0.0668,-20.603,0,0.0384,0.972,0.895,0.345,0.0593,71.384,767000
5NQ41wfi4Pykv4eDTlAoIs,0.0667,0.047,-25.426,1,0.0425,0.928,0.9,0.0652,0.0281,75.446,596000
78GbhkxAc3BY3YHUe3Exyh,0.0774,0.0459,-22.713,1,0.0391,0.951,0.909,0.0845,0.0364,80.12,1166520
2knQh45joDt2zR8rDkJUrA,0.189,0.235,-13.083,1,0.0443,0.958,0.025,0.0638,0.0593,87.316,288080
3CIWCPLeDYRZTrmAUGLw4k,0.32,0.33,-13.887,1,0.0432,0.963,0.0129,0.699,0.129,142.538,505000
6LkfxwQWOxY9cfQc1Zn8GJ,0.269,0.116,-19.326,0,0.0395,0.97,0.0048,0.109,0.0678,131.972,151347
2BUAMUzW0PMPeY4AHbhVi0,0.109,0.0155,-29.052,1,0.0422,0.961,0.902,0.105,0.0357,74.969,672227
0lQPorDUzsJJ20gdXt8Sc2,0.13,0.0428,-26.607,1,0.0406,0.993,0.871,0.082,0.0603,81.658,321120
5dBHELm9dGc3kKsPeYIYKd,0.237,0.233,-13.073,0,0.0488,0.983,0.000296,0.0856,0.0395,168.872,221187
3MZIf4i9hAEPMYNu0Gbl77,0.382,0.21,-17.39,1,0.0319,0.959,0.926,0.774,0.208,94.044,151667
4T3CZlXuRdHeepx6py28Cx,0.178,0.0419,-20.634,1,0.0346,0.969,0.924,0.581,0.038,98.013,588573
4SkJKfnGhQCikozqxyNXjP,0.135,0.17,-16.891,1,0.0403,0.96,0.00628,0.118,0.0343,89.715,446133
3HoO8VUfyXwkgqwaIrVM7u,0.163,0.0802,-18.708,1,0.052,0.991,0.0005,0.0852,0.0304,177.408,453387
2tqpGVikpyctXRMaLMa2Qb,0.175,0.0225,-24.92,1,0.0343,0.894,0.906,0.14,0.0287,65.203,139293
1VW4dglkO39w8nfmpeAnud,0.117,0.0495,-20.41,0,0.0364,0.884,0.747,0.0975,0.0396,66.858,409787
6SUeMVnnp4JJjNYdQjhoey,0.112,0.13,-18.963,0,0.0408,0.957,0.879,0.0991,0.0349,85.744,690400
4h77bvYWQD1890DfmtEHfK,0.36,0.565,-13.921,1,0.0561,0.856,0.88,0.176,0.225,120.2,532000
67JXD5szpPe6dGyQMR3tmE,0.0916,0.0492,-22.839,1,0.0472,0.987,0.894,0.11,0.0301,86.906,624653
7goxLsl3NjiAOmujpZtFWz,0.307,0.122,-19.555,1,0.0393,0.972,0.896,0.037,0.3,124.725,428040
12mGkBK8iKfY2hQDTS3vQO,0.0872,0.0324,-26.078,1,0.0447,0.952,0.758,0.105,0.0222,84.754,705560
001eyxfoYptAWzvF4ewLrR,0.326,0.181,-17.757,1,0.0473,0.982,0.0327,0.198,0.144,135.032,602267
5fdp9rXfEixCGLM1Og4EN1,0.376,0.00579,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480
7kTVe6XhIveidvkt8nb7jK,0.59,0.00399,-36.497,1,0.242,0.996,0.946,0.0683,0.182,74.381,219760
5TKvSoHEXaCyk2GKM6pC3J,0.143,0.00194,-35.355,1,0.045,0.932,0.0318,0.0694,0.0495,139.288,73827
6iI5AH18vcQbGZszzvU3iG,0.297,0.072,-28.741,0,0.0709,0.995,0.895,0.0912,0.0799,69.614,279440
168dPjh6dLw41wtn7MtTOQ,0.458,0.0011,-27.17,1,0.527,0.994,0.928,0.104,0.187,70.506,273240
41vbzaecuw1IxDhYEmZF8x,0.74,0.0577,-28.476,1,0.0571,0.993,0.939,0.0958,0.501,115.827,61360
09nu6d6KxvV8FWfVMeRGfB,0.543,0.0411,-22.392,1,0.061,0.995,0.729,0.126,0.098,132.917,736840
0yFbc1i39n0SKicLliD7g4,0.628,0.287,-15.797,0,0.0648,0.994,0.89,0.174,0.81,77.694,58493
2pAb1BB184EGfpgRHO4fZw,0.409,0.00282,-27.972,0,0.0603,0.994,0.899,0.0877,0.0396,72.866,1037640
7sJiVdNw0wa3vHS6vtF4Kg,0.363,0.0848,-26.336,1,0.0441,0.996,0.915,0.129,0.161,112.348,266973
2ttcaRbut86WyRVvA9aJO3,0.192,0.0134,-29.357,1,0.0437,0.89,0.211,0.278,0.197,164.214,129640
1Bq4pH30E4LjvV7rwy1pc9,0.514,0.234,-18.287,1,0.045,0.994,0.891,0.228,0.381,147.047,457933
320QaNiCtAVdzgd6v1MNK1,0.484,0.026,-19.474,0,0.0547,0.994,0.911,0.101,0.154,73.136,190880
60qgoupfzVr4Bccw5U1DAe,0.675,0.00766,-32.584,1,0.3,0.996,0.97,0.0994,0.38,130.817,4170227
2jA82dPOdU1D05KKBd5qKu,0.469,0.00314,-27.364,1,0.139,0.989,0.909,0.092,0.104,72.146,244533
3VHGrf79W67AG7mN6lqC5W,0.6,0.0108,-37.702,0,0.16,0.996,0.965,0.0653,0.404,77.848,145973
2hulTWxRTnY11ECFPsQMQC,0.351,0.0636,-25.183,1,0.0458,0.904,0.0609,0.134,0.0733,109.468,662893
6ZfP9Ye9uA1ftJnSnwqO1A,0.471,0.0324,-32.552,1,0.0593,0.994,0.88,0.067,0.0878,115.158,212840
3XHHaqTK439BJyEaRMn80y,0.766,0.0668,-29.299,0,0.0819,0.995,0.898,0.103,0.596,96.087,142080
0iABjAYExWlGVmNNQJ3EuP,0.469,0.0872,-22.533,0,0.0668,0.994,0.864,0.147,0.196,157.773,248200
1xbCmCTvzd6nhbTJIg5pFu,0.0704,0.179,-17.395,0,0.0409,0.925,0.911,0.112,0.0354,77.027,329907
2WpPklML14a0Lby1ZeqpIn,0.14,0.027,-30.747,1,0.0419,0.984,0.949,0.0564,0.0392,141.823,388000
7E1ErYYCn0lYjHODZ1qGuB,0.354,0.0487,-24.568,1,0.0323,0.783,0.484,0.284,0.253,64.12,948787
37vCG50piSFnHGVxwovlHC,0.383,0.0145,-26.187,0,0.0579,0.987,0.00202,0.0828,0.0384,72.313,138933
1IwZPU3wcu7zQDZfHbaNYc,0.274,0.0165,-30.102,0,0.0502,0.989,9.19e-06,0.0506,0.154,89.375,85667
5ATGY2d2oulmn7eZQ1EIUu,0.123,0.0213,-29.528,1,0.0407,0.963,0.876,0.05,0.0776,85.908,265867
1vRDKkxMscAH1o8emcDbcw,0.439,0.00257,-32.686,1,0.0583,0.995,0.936,0.0715,0.0375,131.858,366333
7IDlqUI6wzJtIk2crav4zB,0.301,0.0449,-26.585,1,0.0464,0.99,0.000123,0.108,0.217,98.859,145693
3U34uG4BRoMb0lrlrOhtxC,0.201,0.0113,-37.468,1,0.0447,0.971,0.000853,0.0678,0.0387,128.673,201000
5erj8jK6bq8MWFnDVv2HtI,0.286,0.0439,-24.745,1,0.042,0.925,0.551,0.147,0.0932,152.867,389213
4mnbrrduAIy9ZyNoi4byOU,0.0905,0.00523,-28.178,1,0.0412,0.979,0.879,0.0615,0.0307,71.001,327933
6xEBSvLDWaFinm8v3NZQCX,0.114,0.0158,-25.243,1,0.0351,0.902,0.824,0.257,0.0481,82.868,209000
4fyXmuO3wpHOsyCYoOUGI1,0.188,0.116,-19.939,0,0.0375,0.968,0.934,0.121,0.0393,86.948,224360
1CRixRysItPPcGvmB5tc0r,0.219,0.0257,-30.775,1,0.0345,0.976,0.89,0.387,0.119,80.477,189440
7gL8QEEbru4HGViCXVXgBR,0.345,0.016,-30.246,1,0.0469,0.995,0.931,0.0919,0.0669,70.68,227187
4bFVSHcI8wpIY4qBskfMcx,0.265,0.0689,-23.884,1,0.049,0.959,0.76,0.0891,0.041,117.922,530027
1lhAPFTdjgW23x0kwISd4s,0.374,0.0231,-32.293,1,0.0385,0.995,0.843,0.13,0.0484,63.167,113387
5DZ9N4Phrh0Q2Q3dlpAIMN,0.149,0.0237,-32.837,0,0.0481,0.969,0.105,0.103,0.0383,89.955,192893
2CZYCO1WZx8qAX7Wu4TSHP,0.229,0.0715,-25.75,0,0.0465,0.991,0.938,0.144,0.0353,70.051,296240
5tMZQGL2HQlWI1rVtjb999,0.377,0.0766,-24.002,1,0.04,0.965,0.876,0.0911,0.37,85.588,189867
1N06xKid6sYj3vRPbVQX1m,0.24,0.0428,-26.479,1,0.0371,0.951,0.865,0.0979,0.155,137.785,390853
6Y3JXsXRN3Uh37225YxAKl,0.505,0.144,-20.617,1,0.0423,0.993,0.929,0.12,0.152,100.066,195720
6hWOzchcVbVHuyA5Mb88bs,0.288,0.116,-22.499,0,0.0389,0.922,0.963,0.108,0.156,96.094,291573
5bi8ryL6gy6a1BRXOf43y9,0.235,0.166,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,295560
17Ymh369W4qCPXYzndYurO,0.126,0.0585,-19.722,1,0.0402,0.936,0.929,0.0979,0.0704,71.019,441200
74ABFfTOF0Bsq4RRKVfDxs,0.453,0.457,-11.121,0,0.0485,0.981,0.936,0.128,0.589,169.499,106213
6y34pSTyU4j9wxPnTuIzua,0.359,0.0693,-21.584,1,0.0378,0.982,0.942,0.108,0.0745,108.144,382893
5LBTIPGXEn7I7ON0BB961z,0.346,0.105,-25.12,1,0.047,0.586,5.88e-05,0.11,0.0346,99.348,484667
5gALXW3tLnPUUfyMTWQ7So,0.189,0.0677,-24.173,1,0.0367,0.42,0.909,0.108,0.0396,104.846,633200
14JguI1ttjlnIDzrANthR5,0.0639,0.135,-20.733,0,0.049,0.68,0.878,0.0968,0.0371,64.233,711427
7iXFtup6RbQ26P4XqI5pmE,0.357,0.178,-16.467,0,0.0342,0.992,0.899,0.108,0.0758,133.8,254720
0EXWcVFtynKrWiQqpRDkTh,0.145,0.0766,-22.1,0,0.0368,0.951,0.882,0.108,0.0345,67.461,630893
4B33STUQ7hmtFEGoOWpFmi,0.159,0.0932,-20.275,0,0.0342,0.97,0.865,0.0977,0.0369,142.714,568373
4XSTwgAd59NFiUG1CEMb4R,0.204,0.0796,-22.597,1,0.0388,0.985,0.973,0.108,0.381,72.06,180520
71nOqlhtPrCR2RBvMASXRZ,0.544,0.327,-13.407,0,0.031,0.569,0.0417,0.086,0.604,140.057,1296517
4N7h4IHWRaJCOo1VFdTMHV,0.38,0.0797,-18.041,1,0.0438,0.991,0.935,0.123,0.0668,109.091,111832
0vGqX02b3BNZrb63CcyEUC,0.204,0.066,-24.892,1,0.0362,0.985,0.885,0.0726,0.0325,130.554,830703
6whknaFyzmZ8VBPoi4HD8a,0.0755,0.134,-20.776,1,0.0444,0.76,0.145,0.136,0.0395,53.299,629107
7C2OUKlFfGq68qCwAhgjkI,0.145,0.0308,-29.493,0,0.0441,0.822,0.954,0.118,0.0398,66.141,207080
48JmlZDpp4YT5CiBsgE6w4,0.393,0.00183,-36.277,0,0.0502,0.993,0.932,0.1,0.0358,132.021,541587
64ZxBE1ZgK4C0lGljXzDcG,0.48,0.163,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147
5GnRdw3oNKF8Mz6gdEcQLK,0.35,0.105,-19.886,1,0.0374,0.953,0.743,0.14,0.214,113.544,309467
7HB1REjjalFLSXgXlAAwFs,0.433,0.291,-17.56,1,0.0501,0.903,0.907,0.367,0.631,106.65,79840
4ZP3UMVksKg07IeeAjHkEy,0.548,0.208,-21.278,1,0.0421,0.764,0.22,0.0929,0.79,144.352,230507
4wgS4pen0Kej9PafGhUhMJ,0.292,0.456,-14.098,0,0.0378,0.858,0.938,0.172,0.511,149.393,169907
6DimgukTnjDrTxaQ0NnZvM,0.29,0.0809,-19.507,1,0.0488,0.877,0.00285,0.239,0.0968,99.003,402600
79D8Unn36v7C0GkMrpOXOF,0.262,0.0401,-23.603,1,0.0347,0.449,0.962,0.107,0.132,100.826,139000
37avtC3pPHLtaRpUNYcl4t,0.494,0.154,-17.736,0,0.0374,0.957,0.000772,0.311,0.634,95.168,264267
5f0B0DJ2RPdp0bDfOTRxgU,0.251,0.121,-23.069,0,0.0428,0.855,0.0032,0.403,0.0378,169.291,149373
7fKHeJdwHroMIGBwtnuLDg,0.44,0.306,-14.425,1,0.0365,0.929,0.665,0.163,0.593,136.403,289880
4ATrXpJdnYW2eOeeYdXMVG,0.456,0.142,-22.955,1,0.0682,0.942,0.642,0.0681,0.584,116.6,152733
5Txwlv081K39njx353jh7r,0.459,0.287,-16.162,1,0.0338,0.944,0.0214,0.183,0.412,127.697,147320
6zOijs9wmanFgqIBqz2IKQ,0.473,0.126,-19.906,1,0.0533,0.839,0.528,0.129,0.359,147.262,214547
4gmhjAsvL6c7se2PBh7dHw,0.701,0.341,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,151507
3a7164iFh2bQ19ACpWhDgC,0.359,0.238,-16.828,1,0.0389,0.768,0.00579,0.112,0.482,98.707,117840
0jPvRJCRE8P4MqIx38vHyQ,0.374,0.366,-24.258,1,0.0618,0.722,0.897,0.12,0.294,147.903,107280
3PijGK87OvRw77YUGRW7OY,0.332,0.0153,-25.174,1,0.0482,0.947,0.000257,0.117,0.387,131.062,109120
0qxV4vP9Td33eweWijvCK8,0.337,0.207,-19.675,1,0.0447,0.872,0.608,0.146,0.332,123.239,166267
5TWP2c4dIxJjej8MHr4OZY,0.129,0.0269,-26.772,1,0.0471,0.858,4.08e-05,0.074,0.245,55.942,230987
6zYMmgMN98HRTlkFTXNb2p,0.379,0.224,-16.889,0,0.0375,0.388,0.000466,0.386,0.504,122.69,105530
2u9VGZmVz7Rm01SfDgzcfA,0.279,0.0292,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147
6Y2ID5LrizFmT8FL0BQEgG,0.152,0.0568,-26.529,1,0.0412,0.984,0.91,0.0953,0.0335,76.486,319347
1dFVnX4mJTnWubAPE8S3OR,0.356,0.152,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,662600
3JAaETnjF592bbsgzUXAMp,0.364,0.251,-14.84,1,0.0323,0.924,0.947,0.065,0.312,97.644,97973
5HMB40txXdGhVcPH5QxibE,0.39,0.0249,-24.02,1,0.0366,0.989,0.922,0.135,0.0493,134.107,283107
3mmuiyuZHEE2ZKzgzZP8sS,0.295,0.1,-21.91,0,0.0304,0.989,0.865,0.0749,0.0545,93.655,316333
5XBWQDLsTWj9uoVeKG2uuo,0.268,0.204,-22.032,0,0.0355,0.967,0.843,0.0893,0.417,92.786,291440
4GDmXyfuxk6omRjCCF3Nr1,0.295,0.0448,-30.105,1,0.0409,0.976,0.917,0.0768,0.0377,136.347,576867
4302P24v1ljMAzxnL5VO52,0.323,0.0315,-27.762,1,0.0397,0.993,0.935,0.0794,0.0376,67.449,367480
5G5SIUNYqHtMX9Rhub0Qcu,0.341,0.12,-20.315,0,0.0441,0.987,0.84,0.0627,0.0376,71.062,723280
1mIiXgLdPNp0d9wccO485S,0.264,0.0193,-30.885,1,0.0357,0.985,0.909,0.0994,0.0635,65.07,164773
3tROciMVjdxYR4boNVLIhB,0.241,0.0658,-23.455,1,0.0411,0.991,0.911,0.117,0.0346,58.665,599086
0jFPa8eFjwhfZAw0TrMQ2g,0.121,0.0103,-32.285,0,0.0541,0.971,0.148,0.204,0.0359,75.688,289080
4wKGetA5crT9tZhjqTLTka,0.175,0.00886,-32.144,0,0.0457,0.99,0.883,0.0867,0.0336,66.935,185493
2LOQtnSs1l1uSycL81qFGk,0.372,0.277,-15.712,1,0.0338,0.967,0.591,0.143,0.344,75.792,246133
7B1ZnEE48TSp4bXSqRoIxx,0.12,0.0404,-26.191,1,0.0414,0.972,0.796,0.0908,0.031,89.801,778000
6xTH4nf81GgjAJJtPOqdxh,0.331,0.19,-20.311,1,0.0443,0.987,0.873,0.215,0.0563,55.981,459293
0Tavxx4mxW9WsYyvY2YScn,0.346,0.163,-21.735,1,0.0435,0.986,0.839,0.0653,0.0356,62.631,1019667
0ixYDyfSMMdvNKhyDhAxyd,0.281,0.316,-17.182,0,0.0369,0.975,0.858,0.494,0.217,79.224,172813
1xB9TsyExvGrO4eHO3R0gT,0.392,0.0359,-21.75,1,0.0512,0.992,0.852,0.0957,0.0556,94.592,321240
26KykHLogeIep4OrurliDS,0.349,0.0168,-26.609,1,0.0401,0.994,0.932,0.0768,0.0671,71.696,263827
43bSKCMWHIuBsUVmQcDX1J,0.296,0.00896,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,257000
3qzNMOAMWvzMtl3aPv9rOB,0.266,0.0662,-21.072,1,0.0356,0.977,0.922,0.102,0.0402,142.161,279653
4VpLwqzkob5lUeTE9rCqcK,0.184,0.0365,-28.57,0,0.0451,0.978,0.000201,0.0691,0.0352,92.433,134929
